Book Id,Title,Author,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Exclusive Shelf,My Review,Read Count
44581535,"Find Me (Call Me By Your Name, #2)",André Aciman,,0374155011,9780374155018,4,3.26,"Farrar, Straus and Giroux",Hardcover,260,2019,2019,,2022/04/19,,read,,1
39927096,"Less (Arthur Less, #1)",Andrew Sean Greer,,,,3,3.63,Lee Boudreaux Books,Kindle Edition,273,2017,2017,,2022/04/19,,read,,1
15195,The Complete Maus,Art Spiegelman,,0141014083,9780141014081,5,4.57,Penguin Books,Paperback,296,2003,1980,,2022/04/19,,read,,1
4711854,The Machine Stops,E.M. Forster,,140990329X,9781409903291,5,4.07,Dodo Pr,Paperback,35,2008,1909,,2022/04/19,,read,,1
11297,Norwegian Wood,Haruki Murakami,Jay Rubin,0375704027,9780375704024,5,4.01,Vintage Books,Paperback,296,2000,1987,,2022/04/19,,read,,1
10357575,"1Q84 (1Q84, #1-3)",Haruki Murakami,"Jay Rubin, Philip Gabriel",0307593312,9780307593313,5,3.97,Knopf,Hardcover,944,2011,2009,,2022/04/19,,read,,1
64582,Chaos: Making a New Science,James Gleick,,0140092501,9780140092509,4,4.03,Penguin Group,Paperback,352,1988,1987,,2022/04/19,,read,,1
40495148,Blindness,José Saramago,Giovanni Pontiero,,,4,4.17,Mariner Books,Kindle Edition,349,2013,1995,,2022/04/19,,read,,1
8686068,"The Devotion of Suspect X (Detective Galileo, #1)",Keigo Higashino,"Alexander O. Smith, Elye J. Alexander",0312375069,9780312375065,4,4.17,Minotaur Books,Hardcover,298,2011,2005,,2022/04/19,,read,,1
40614258,"Why the Devil Stalks Death (Death and the Devil, #2)",L.J. Hayward,,,9780994457189,0,4.33,,ebook,380,2018,2018,,2022/04/19,to-read,to-read,,0
33119757,"Borrowing Blue (Made Marian, #1)",Lucy Lennox,,,,0,4.23,,Kindle Edition,307,2016,2016,,2022/04/19,,read,,1
170011,Neuroscience: Exploring the Brain,Mark F. Bear,"Barry W. Connors, Michael A. Paradiso",0781760038,9780781760034,5,4.27,Lippincott Williams and Wilkins,Hardcover,857,2006,1995,,2022/04/19,neuroscience,read,,1
58175391,Ache,Marley Valentine,,,,4,3.96,,Paperback,282,2021,2021,,2022/04/19,,read,,1
22402178,"All Kinds of Tied Down (Marshals, #1)",Mary Calmes,,163216065X,9781632160652,0,4.19,Dreamspinner Press,ebook,290,2014,2014,,2022/04/19,to-read,to-read,,0
8578291,"A Matter of Time, Vol. 1 (A Matter of Time, #1-2)",Mary Calmes,,1615815244,9781615815241,0,4.26,Dreamspinner Press,Paperback,280,2010,2010,,2022/04/19,currently-reading,currently-reading,,1
7090484,"A Matter of Time Book I (A Matter of Time, #1)",Mary Calmes,,1897532733,9781897532737,0,4.03,Club Lighthouse Publishing,ebook,140,2009,2009,,2022/04/19,currently-reading,currently-reading,,1
31287284,"Tied Up in Knots (Marshals, #3)",Mary Calmes,,1634777557,9781634777551,0,4.40,Dreamspinner Press,ebook,260,2016,2016,,2022/04/19,to-read,to-read,,0
35031085,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,Charlotte Gordon,,,3,3.87,Penguin Classics,Paperback,260,2018,1818,,2022/04/19,,read,,1
170016,Cognitive Neuroscience: The Biology of the Mind,Michael S. Gazzaniga,"Richard B. Ivry, G.R. Mangun",0393977773,9780393977776,5,4.12,W W Norton & Co Inc,Hardcover,680,2002,1998,,2022/04/19,,read,,1
33394243,Arrows Through Archer,Nash Summers,,,,0,4.23,,Kindle Edition,309,2017,2017,,2022/04/19,to-read,to-read,,0
41136356,Something About Us (Saint and Lucky #2),Riley Hart,,,,0,4.08,Riley Hart,Kindle Edition,268,2018,2018,,2022/04/19,dnf,read,,1
50013162,Endless Stretch of Blue,Riley Hart,,,,0,4.23,Riley Hart,Kindle Edition,284,2019,2019,,2022/04/19,,read,,1
30140662,Test Drive (Crossroads #3),Riley Hart,Sean Crisden,,,0,4.14,,ebook,199,2016,2016,,2022/04/19,currently-reading,currently-reading,,1
18776706,"Stay (Blackcreek, #2)",Riley Hart,,,,0,4.17,Riley Hart,ebook,361,2014,2014,,2022/04/19,currently-reading,currently-reading,,1
57481725,"The Endgame (Atlanta Lightning, #1)",Riley Hart,,,,0,4.30,Riley Hart,Kindle Edition,336,2021,2021,,2022/04/19,currently-reading,currently-reading,,1
53209654,"Murphy's Law (Havenwood, #2)",Riley Hart,,,,0,4.28,Riley Hart,Kindle Edition,214,2020,2020,,2022/04/19,currently-reading,currently-reading,,1
18874773,"Broken Pieces (Broken Pieces, #1)",Riley Hart,,,1230000215586,0,4.14,Riley Hart,ebook,339,2014,2014,,2022/04/19,to-read,to-read,,0
31170723,Behave: The Biology of Humans at Our Best and Worst,Robert M. Sapolsky,,1594205078,9781594205071,5,4.40,Penguin Press,Hardcover,790,2017,2017,,2022/04/19,,read,,1
29475332,"Us (Him, #2)",Sarina Bowen,Elle Kennedy,1942444133,9781942444138,0,4.28,Rennie Road Books,Paperback,322,2016,2016,,2022/04/19,,read,,1
4801582,"Faith & Fidelity (Faith, Love, & Devotion, #1)",Tere Michaels,,1596327723,9781596327726,5,3.99,Loose-id,ebook,228,2008,2008,,2022/04/19,,read,,1
55218452,"Just a Bit Obsessed (Straight Guys, #2)",Alessandra Hazard,,,,3,3.83,,Kindle Edition,160,2014,2014,,2022/04/21,,read,,1
39863941,"Trick Play (Fake Boyfriend, #2)",Eden Finley,,,,0,4.13,Eden Finley,Kindle Edition,330,2018,2018,,2022/04/21,to-read,to-read,,0
42272771,Boy Shattered,Eli Easton,,,,0,4.35,,Kindle Edition,352,2018,2018,,2022/04/21,to-read,to-read,,0
37664461,"Robbie (Confessions, #1)",Ella Frank,,,,2,4.29,,Kindle Edition,284,2018,2018,,2022/04/21,,read,,1
31819739,"Locked (PresLocke, #2)",Ella Frank,Brooke Blaine,,,0,4.29,"Ella Frank, LLC & Brooke Blaine",Kindle Edition,308,2016,2016,,2022/04/21,to-read,to-read,,0
28822025,"Finley (Sunset Cove, #1)",Ella Frank,,,,0,4.01,,ebook,275,2016,2016,,2022/04/21,to-read,to-read,,0
23288462,Heart,Garrett Leigh,,1632163675,9781632163677,0,4.21,Dreamspinner Press,ebook,204,2014,2014,,2022/04/21,to-read,to-read,,0
26157385,"The Mermaid Murders (The Art of Murder, #1)",Josh Lanyon,,,9781937909826,0,4.18,Josh Lanyon,ebook,243,2016,2016,,2022/04/21,,read,,1
48728647,"Jumping Jude (Made Marian, #3)",Lucy Lennox,,,,3,4.31,,Kindle Edition,264,2019,2016,,2022/04/21,,read,,1
44349918,No Quick Fix (Torus Intercession #1),Mary Calmes,,,,0,4.19,,Kindle Edition,322,2019,2019,,2022/04/21,to-read,to-read,,0
28490317,"Overexposed (In Focus, #4)",Megan Erickson,,1101988614,9781101988619,0,4.18,InterMix,ebook,189,2016,2016,,2022/04/21,to-read,to-read,,0
57113091,Bossy,N.R. Walker,,,,3,4.21,BlueHeart Press,Kindle Edition,277,2021,2021,,2022/04/21,,read,,1
53351569,"Pieces of You (Missing Pieces, #1)",N.R. Walker,,,,0,4.31,Blueheart Press,Kindle Edition,185,2020,2020,,2022/04/21,to-read,to-read,,0
56786433,"The Murder Between Us (A Noah & Cole Thriller, #1)",Tal Bauer,,,,5,4.25,,Kindle Edition,302,2021,2021,2022/04/24,2022/04/21,,read,,1
58276804,"Code Red (Atrous, #1)",N.R. Walker,,,,0,4.26,BlueHeart Press,Kindle Edition,404,2021,2021,,2022/04/24,currently-reading,currently-reading,,1
58018735,"The Grave Between Us (A Noah & Cole Thriller, #2)",Tal Bauer,,,,0,4.45,,Kindle Edition,376,2021,2021,,2022/04/24,currently-reading,currently-reading,,1
23788388,19 Days,Old Xian,,7535667058,,5,4.59,Hunan Fine Arts Publishing House ,Hardcover,3150,2014,2014,,2022/05/05,,read,,1
60805905,19 Days (19 Days Manga Series Book 1),Old Xian,,,,5,4.81,Ac.qq,Kindle Edition,0,2022,2022,,2022/05/05,,read,,1
34664699,Enemies of the State (The Executive Office #1),Tal Bauer,,,,4,4.21,Tal Bauer,Kindle Edition,444,2017,2016,2022/05/07,2022/05/06,,read,Finished book 1. Don’t understand why this Jack is a republican? LOL? I know there’s probably some gay republicans or whatever but with roe over turned now… Gay marriage might be next guys… Over all. Enjoyable book. Enjoy it while republican work on rolling back gay rights :),1
58408302,These Deviant Ties,Andi Rhodes,"Andréa Joy, Amy Thorn, René Van Dalen, C.P.  Harris, Amy Davies, Emma Jaye, Nero Seal, Laura Lascarso, Kamisa Cole, Alice La Roux",,,0,4.17,,Kindle Edition,722,2021,2021,,2022/05/07,,read,,1
57047626,Maahes (Malicious Gods: Egypt),Emma Jaye,,,,0,4.20,Purindoors Publications,Kindle Edition,436,2021,2021,,2022/05/07,currently-reading,currently-reading,,1
49126884,Obsession of the Egoist (Egoist #2),Nero Seal,,,,3,4.00,Nero Seal,Kindle Edition,193,2019,2019,2022/05/08,2022/05/07,,read,,1
48924525,Love of the Egoist (Egoist #1),Nero Seal,,,,4,3.92,Seal Publishing,Kindle Edition,215,2019,2018,2022/05/08,2022/05/07,,read,,1
53312271,Iblis’ Affliction (Reapers #1),Nero Seal,,,,0,4.06,Seal Publishing,Kindle Edition,407,2020,2020,,2022/05/07,currently-reading,currently-reading,,1
58813806,Seth (Malicious Gods: Egypt),Nero Seal,,,,0,3.95,Seal Publishing,Kindle Edition,357,2021,2021,,2022/05/07,currently-reading,currently-reading,,1
42394378,Acceptance of the Egoist (Egoist #1.5),Nero Seal,,,,5,4.14,Nero Seal,Kindle Edition,62,2018,2018,2022/05/07,2022/05/07,,read,,1
50160457,Egoist Box Set (1-1.5),Nero Seal,,,,0,4.40,Nero Seal,Kindle Edition,318,2019,2019,2022/05/07,2022/05/07,,read,,1
36184623,Enemy of My Enemy (Executive Office #2),Tal Bauer,,,,0,4.48,Tal Bauer,Kindle Edition,477,2017,2016,,2022/05/07,currently-reading,currently-reading,,1
58251857,The Kidnapping of Roan Sinclair,Ashlyn Drewek,,1955211000,,0,4.05,Fox Hollow Books,Kindle Edition,340,2021,2021,,2022/05/08,currently-reading,currently-reading,,1
52175929,"Dig Your Grave (Staniel, #2)",Avril Ashton,,,,0,4.09,Sinner's Haven Publishing,Kindle Edition,181,2020,2020,,2022/05/08,currently-reading,currently-reading,,1
33975583,"Call the Coroner (Staniel, #1)",Avril Ashton,,,,0,4.07,Sinner's Haven Publishing,Kindle Edition,351,2017,2017,2022/05/08,2022/05/08,,read,,1
23002894,"(Watch Me) Break You (Run This Town, #1)",Avril Ashton,,,,0,4.05,Sinner's Haven Publishing,Kindle Edition,278,2014,2014,,2022/05/08,to-read,to-read,,0
48723748,"One for Sorrow (Magpie Rhyme, #1)",Louise  Collins,,036950089X,9780369500892,0,4.24,Evernight Publishing,ebook,307,2019,2019,,2022/05/08,,read,,1
56412617,"Pursuing the Egoist (Egoist, #2.5)",Nero Seal,,,,0,4.05,Seal Publishing,Kindle Edition,149,2020,2020,,2022/05/08,,read,,1
58470435,"Psycho (Necessary Evils, #2)",Onley James,,,,0,4.27,Onley James,Kindle Edition,284,2021,2021,,2022/05/08,currently-reading,currently-reading,,1
58460336,"Unhinged (Necessary Evils, #1)",Onley James,,,,0,4.13,Onley James,Kindle Edition,306,2021,2021,,2022/05/08,currently-reading,currently-reading,,1
7842653,"Special Forces - Soldiers (Special Forces, #1)",Aleksandr Voinov,"Marquesate, Vashtan",,,0,4.42,Camouflage Press,Paperback,559,2010,2009,,2022/05/09,currently-reading,currently-reading,,1
35138461,"Kill Game (Seven of Spades, #1)",Cordelia Kingsbridge,Barbara Cinelli,1626496196,9781626496194,0,4.24,Riptide Publishing,ebook,262,2017,2017,,2022/05/09,to-read,to-read,,0
6382879,Zero at the Bone (Zero at the Bone #1),Jane Seville,,1935192817,9781935192817,0,4.09,Dreamspinner Press,ebook,308,2009,2009,,2022/05/09,to-read,to-read,,0
58977676,"How Did You Survive Without Us? (Irish Roulette, #1)",Ki Brightly,M.D. Gregory,,,0,4.01,  Brightly Books ,Kindle Edition,317,2021,2021,,2022/05/09,currently-reading,currently-reading,,1
13549765,"In These Words, Volume 1",Kichiku Neko,"TogaQ, Guilt Pleasure",1569702756,9781569702758,5,4.25,"801 Media, Inc.",Paperback,200,2012,2012,,2022/05/09,,read,,1
33781005,Killing Stalking Season 1,Koogi,,,,4,4.14,Lezhin Comics,Webtoon,,2009,2009,,2022/05/09,,read,,1
18748894,"Twittering Birds Never Fly, Vol.1",Kou Yoneda,,1569703272,9781569703274,0,4.27,Digital Manga Publishing,Paperback,200,2014,2013,,2022/05/09,,read,,1
28187428,If the Seas Catch Fire,L.A. Witt,,1943426112,9781943426119,0,4.10,,Kindle Edition,451,2016,2016,,2022/05/09,currently-reading,currently-reading,,1
41948676,The Freshman,Louise  Collins,,1773397982,,0,3.96,Evernight Publishing,Kindle Edition,190,2018,2018,,2022/05/09,to-read,to-read,,0
7474738,"The Administration (The Administration, #1-9)",Manna Francis,,,,0,4.55,,ebook,1635,,,,2022/05/09,currently-reading,currently-reading,,1
44095980,セラピーゲーム(下) [Therapy Game 2],Meguru Hinohara,日ノ原 巡,4403666663,9784403666667,0,4.50,新書館,Paperback,191,2018,2018,,2022/05/09,to-read,to-read,,0
55711523,"Birds of Shangri-La, Vol. 2 (Birds of Shangri-La, #2)",Ranmaru Zaria,Ranmaru Zariya,1974723682,9781974723683,5,4.40,SuBLime,Paperback,202,2021,2020,,2022/05/09,,read,,1
40929214,"黒か白か 1 [Kuro ka Shiro ka 1] (Black or White, #1)",Sachimo,,4041067227,9784041067222,3,3.89,KADOKAWA,Paperback,162,2018,2018,,2022/05/09,,read,,1
28175648,Tatsuyuki Oyamato The 4th,Scarlet Beriko,,,,5,4.02,"Papyless CO., LTD.",ebook,226,2015,2015,,2022/05/09,,read,,1
13510735,"Houseboat on the Nile (Spy vs. Spook, #1)",Tinnean,,1613724128,9781613724125,0,3.92,Dreamspinner press,ebook,350,2012,2012,,2022/05/09,to-read,to-read,,0
26134688,"イトウさん (Ito-san, #1)",冥花すゐ,,4863495064,9784863495067,0,3.91,茜新社,Paperback,193,2015,2015,,2022/05/09,to-read,to-read,,0
61068077,One Night Stand Vol: 1 (Manga for luv Book 15),BRADLEY HOGAN,,,,0,0.0,,Kindle Edition,,2022,2022,,2022/05/10,currently-reading,currently-reading,,1
61068075,Young Delinquent Volume: 1 (Favorite Manga),HAROLD GOMEZ,,,,0,0.0,,Kindle Edition,,2022,2022,,2022/05/10,currently-reading,currently-reading,,1
61068047,My Sensitive Younger Brother #1 (Favorite Manga Book 5),HAROLD GOMEZ,,,,0,0.0,,Kindle Edition,,2022,2022,,2022/05/10,currently-reading,currently-reading,,1
61068041,My Private Moneylender chapter 1 (School Manga Book 19),JACQUES NALET,,,,0,3.00,,Kindle Edition,721,2022,2022,,2022/05/10,currently-reading,currently-reading,,1
61040515,The Sole Survivor Volume: 1 (Shock Manga Book 13),Jean-Loup Fay,,,,0,0.0,,Kindle Edition,745,2022,2022,,2022/05/10,currently-reading,currently-reading,,1
51323366,"Birds of Shangri-La, Vol. 1 (Birds of Shangri-La, #1)",Ranmaru Zaria,Ranmaru Zariya,1974715159,9781974715152,0,4.21,SuBLime,Paperback,194,2020,2019,,2022/05/10,,read,,1
37824788,Zhenniao (Yaoi Manga) #1,Yayohi Monzen,,,,0,3.76,PRINTEMPS PUBLISHING,Kindle Edition,37,2017,2017,,2022/05/10,currently-reading,currently-reading,,1
61277779,Watercolor Approaches For Artists: Step-by-Step Instructions,A22ri Publishing,,,,0,0.0,,Kindle Edition,163,2021,2021,,2022/06/12,currently-reading,currently-reading,,1
57141663,The Inventive Watercolor Painting: Ideas And Innovative Doodling And Water Color Concepts,Belloli Publishing,,,,0,2.00,,Kindle Edition,,2021,2021,,2022/06/12,currently-reading,currently-reading,,1
57294870,Easy Watercolor Lesson 1 Best Training for Beginners: Realistic Watercolor and Decorative Watercolor (Japanese Edition),Hisashi Ishigami,,,,0,5.00,Artjamu Publishing,Kindle Edition,546,2021,2021,,2022/06/12,currently-reading,currently-reading,,1
61232265,DIY Homemade Watercolor Flowers: How to Create Watercolor Flowers Tutorial - A Beginner's Step-by-Step Guide,Jeff Mascaro,,,,0,3.00,,Kindle Edition,,2022,2022,,2022/06/12,currently-reading,currently-reading,,1
54467512,Drawing and Painting Botanicals for Artists: How to Create Beautifully Detailed Plant and Flower Illustrations,Karen Kluglein,,,,0,4.12,Rockport Publishers,Kindle Edition,144,2020,2020,,2022/06/12,currently-reading,currently-reading,,1
61277703,Introduction To Watercolor Flower Painting Techniques : Watercolor Illustration Techniques Of 30 Kinds Of Flowers,Kevn Todd,,,,0,0.0,,Kindle Edition,,2022,2022,,2022/06/12,currently-reading,currently-reading,,0
26823654,How to Paint From Brush to Palette Knives: Learn to Paint Like the Masters with Broken Color and Luscious Texture,Linda Riesenberg Fisler,,0996747907,,0,3.33,Kit Cat Press,Kindle Edition,320,2015,2015,,2022/06/12,currently-reading,currently-reading,,1
21938716,Zen and the Art of Watercolor Painting: A Small Book of Watercolor's Lessons,Lynne Hurd Bryant,,,,0,3.33,,Kindle Edition,37,2014,2014,,2022/06/12,currently-reading,currently-reading,,1
61277768,Watercolor Basics: Start To The Finish,Markrafts Publishing,,,,0,0.0,,Kindle Edition,,2022,2022,,2022/06/12,currently-reading,currently-reading,,1
58055029,Watercolor Basics Tutorial: Getting Started with Watercolor: Watercolor Painting Ideas,Martha Chaney,,,,0,2.00,,Kindle Edition,89,2021,2021,2022/06/12,2022/06/12,,read,,1
30334952,The Art of Painting Sea Life in Watercolor: Master techniques for painting spectacular sea animals in watercolor (Collector's Series),Maury Aaseng,"Louise de Masi, Hailey E. Herrera, Ronald Pratt",,,0,4.17,Walter Foster Publishing,Kindle Edition,144,2016,2016,,2022/06/12,currently-reading,currently-reading,,1
61277778,"MIXING WATERCOLORS PAINT FOR STARTERS: Comprehensive Guide On How To Create Beautiful Watercolor Paintings From Fruits, Flowers To Animals, Household Items And More",Neil  David,,,,0,0.0,,Kindle Edition,36,2022,2022,,2022/06/12,currently-reading,currently-reading,,1
61277775,Amazing Patterns Adult Coloring Book Vol. 2: Relaxion • Mandala • Stress Relieving • Perfect Gift for Woman and Man,Solution Press,,,,0,0.0,,Kindle Edition,105,2022,2022,,2022/06/12,currently-reading,currently-reading,,1
41723878,Dreamscapes Fantasy Worlds,Stephanie Pui-Mun Law,,,,0,4.54,,Kindle Edition,351,2018,2014,,2022/06/12,currently-reading,currently-reading,,1
61277691,Watercolor Sketchbook: The Watercolor Basics Book for the Beginners: Watercolor Guide Book,Steven McGraw,,,,0,0.0,,Kindle Edition,57,2022,2022,,2022/06/12,currently-reading,currently-reading,,1
61277811,Getting Started with Watercolor Painting,Thomas Fisher,,,,0,0.0,,Kindle Edition,251,2022,2022,,2022/06/12,currently-reading,currently-reading,,1
61277753,Watercolor Painting Steps,Victoria Wilson,,,,0,5.00,,Kindle Edition,,2022,2022,,2022/06/12,currently-reading,currently-reading,,1
36623175,"Pretty Pretty Boys (Hazard and Somerset, #1)",Gregory Ashe,,1636210937,9781636210933,0,3.99,Hodgkin and Blount,Kindle Edition,350,2017,2017,,2022/07/04,to-read,to-read,,0
31822375,Bitter Legacy (Bitter Legacy #1),Dal Maclean,,1935560433,,4,4.28,Blind Eye Books,Kindle Edition,407,2016,2016,,2022/07/07,,read,,1
27010837,Between Ghosts,Garrett Leigh,,1626493510,9781626493513,0,4.10,Riptide Publishing,ebook,226,2016,2016,,2022/07/07,to-read,to-read,,0
42056327,"Open Grave (DCI Jack Lambert, #1)",A.M. Peacock,,,,0,3.98,Bloodhound Books,Kindle Edition,325,2018,2018,,2022/07/12,to-read,to-read,,0
